Season,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97,1995-96,1994-95,1993-94,1992-93,1991-92,1990-91,1989-90,1988-89,1987-88,1986-87,1985-86,1984-85,1983-84,1982-83,1981-82,1980-81,1979-80,1978-79,1977-78,1976-77,1975-76,1974-75,1973-74,1972-73,1971-72,1970-71,1969-70,1968-69,1967-68
1,26.26,26.53,25.24,24.52,24.47,22.33,26.67,22.82,24.06,22.25,22.78,21.67,20.68,21.01,23.95,20.8,23.24,21.76,21.93,21.73,23.7,24.08,25.61,26.56,29.73,25.74,25.99,26.19,21.34,20.27,20.13,22.59,21.14,21.18,20.17,21.11,21.56,20.1,21.38,22.98,23.21,22.3,23.38,20.59,19.82,20.06,19.85,22.13,22.6,21.67,18.58,17.86
2,25.41,26.23,24.24,23.06,23.98,21.56,22,21.9,23.63,22,21.83,21.01,20.68,20.94,22.19,20.12,20.06,20.96,20.54,21.23,19.77,21.79,20.65,23.78,19.94,19.46,20.63,22.57,19.89,19.45,19.77,21.72,20.84,19.73,19.82,20.63,19.61,20.04,21.07,22.63,20.7,20.66,22.83,19.75,19.55,19.32,19.65,21.15,19.82,18.85,18.5,17.75
3,25.09,23.64,23.95,22.22,21.42,20.71,20.73,19.79,22.1,21.76,20.97,20.35,20.59,20.9,20.58,19.08,18.99,18,20.42,20.71,19.53,20.94,20.03,21.33,19.89,19.43,20.36,21.2,19.64,18.95,19.76,19.46,20.44,19.43,19.67,19.01,19.19,19.34,20.27,20.93,20.42,19.86,21.22,19.62,19.15,19.25,19.12,20.08,19.59,18.63,17.52,16.47
4,23.58,22.23,23.5,21.01,21.05,20.41,20.23,18.96,21.83,21.47,20.71,19.7,20.55,19.92,20.28,19.01,18.8,17.84,20.41,19.21,19.52,18.8,19.95,20.29,19.8,19.17,19.88,20.57,19.34,18.55,18.38,18.75,19.59,19.37,19.5,18.64,18.73,19.31,19.26,20.37,18.58,19.35,19.36,19.54,18.59,18.12,18.63,19.84,19.02,17.29,17.24,16.33
5,23.09,22.22,21.78,20.76,20.75,20.1,19.34,18.75,20.05,20.34,20.63,19.61,20.23,19.6,19.79,18.98,18.29,17.55,18.95,18.71,18.8,18.65,19.39,19.32,19.35,18.91,19.76,18.63,19.3,18.45,18.09,18.6,19.34,18.99,18.89,18.37,18.06,18.82,17.66,19.56,18.55,19.01,18.87,19.93,18.1,18.12,18.21,18.89,18.89,16.97,17.2,16.1
6,22.61,21.39,20.77,20.2,20.73,19.6,19.13,18.29,19.66,19.36,20.25,19.48,19.52,19.34,19.79,18.37,17.56,17.51,18.14,18.49,18.79,18.49,19.1,19.11,19.23,18.65,19.53,18.16,19.05,18.37,18,18.34,18.04,18.66,18.67,18.25,17.98,18.81,17.65,18.46,18.44,18.09,18.66,18.42,17.97,18.04,17.96,18.14,18.42,16.8,17.05,16.1
7,22.4,20,19.61,20.2,19.06,19.55,19.09,18.29,19.31,18.95,19.3,19.31,19.48,18.98,19.43,18.28,17.37,17.49,17.97,18.29,18.76,18.2,18.82,18.55,19.12,18.64,18.85,17.84,18.97,18.34,17.89,18.31,17.99,18.36,18.59,17.81,17.83,18.74,17.6,18.17,18.02,18.08,18.4,18.26,17.83,17.78,17.88,18.03,17.73,16.57,16.38,15.43
8,21.6,19.43,19.48,20.13,18.64,19.36,19.02,18.28,19.17,18.37,19.1,19.28,19.39,18.75,18.9,17.66,17.23,17.33,17.76,18.26,18.49,18.17,18.64,18.44,18.25,18.54,18.69,17.65,18.26,18.21,17.42,17.94,17.55,18.33,18.26,17.52,17.37,18.48,17.4,17.41,17.97,17.88,18.14,17.21,17.64,17.42,17.68,17.63,17.57,15.41,16.32,15.43
9,20.63,19.25,19.47,19.67,18.52,19.04,18.73,18.26,18.93,18.32,19.02,19.15,19.25,18.7,18.27,17.39,17.09,17.15,17.54,18.14,18.19,17.98,18.56,18.43,17.95,18.46,18.67,17.37,18.09,17.56,17.19,17.73,17.47,18.22,17.71,17.5,17.06,18.4,17.09,17.35,17.89,17.65,17.83,17.02,17.34,17.38,17.48,17.5,17.37,15.31,16.13,14.82
10,20.6,18.95,19.38,19.51,18.49,18.83,18.7,18.06,18.61,18.17,18.89,18.52,18.76,18.11,17.8,16.8,16.04,16.98,17.03,17.88,17.97,17.71,18.4,18.11,17.93,18.14,18.15,17.26,17.72,17.33,17.11,17.41,17.38,18.02,17.45,17.43,16.84,17.86,16.93,17.1,17.67,17.54,17.17,16.97,17.28,17.2,17.16,17.48,17.14,15.13,16.09,14.81
